file,diff_fields,deepseek_values,kimi_values,poe_values
Syracuse/associate/cv_aron_tobias.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""\u00c1ron D\u00e1vid T\u00f3bi\u00e1s"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2023"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""\u00c1ron D\u00e1vid T\u00f3bi\u00e1s"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2023"", ""years_post_phd"": ""7""}"
Syracuse/associate/derek-laing.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Syracuse/full/CV_Nov2025_Mitra.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""10""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Syracuse/full/Lee-CV.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Yoonseok Lee"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Yoonseok Lee"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2013"", ""years_post_phd"": """"}"
Syracuse/full/badi-h - baltagi.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""12"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""21"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""20"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}"
Syracuse/full/engelhardt-cv-and-bio-january-2025.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}"
Syracuse/full/horracecv.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""3""}"
Syracuse/full/jan-ondrich.docx,JOURNAL OF LABOR ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF LABOR ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6""}"
Tufts/associate/9a2b09_b5d1fa56598441ca8acdf78b475c1d47.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}"
Tufts/associate/CV_AFS.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}"
Tufts/associate/Kinnanvita.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""1""}"
Tufts/full/Doss CV April 2024.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Williams College"", ""promotion_year"": ""1999"", ""years_post_phd"": ""3""}","{""promotion_university"": ""Williams College"", ""promotion_year"": ""1996"", ""years_post_phd"": ""0""}"
Tufts/full/Douglas Gollin cv revised 1 November 2025.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF POLITICAL ECONOMY,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""3""}"
Tufts/full/MMCV_February262025.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Tufts/full/Marcelo Bianconi.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""Tufts University"", ""promotion_year"": ""2014"", ""years_post_phd"": ""26""}","{""promotion_university"": ""Tufts University"", ""promotion_year"": ""1989"", ""years_post_phd"": ""1""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Tufts/full/Silke_Forbes_CV.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""Case Western Reserve University"", ""promotion_year"": ""2014"", ""years_post_phd"": ""11""}","{""promotion_university"": ""Tufts University"", ""promotion_year"": ""2017"", ""years_post_phd"": ""14""}","{""promotion_university"": ""Case Western Reserve University"", ""promotion_year"": ""2014"", ""years_post_phd"": ""11""}"
Tufts/full/SpolaoreCV_October2024.docx,ECONOMIC JOURNAL; QUARTERLY JOURNAL OF ECONOMICS,"{""ECONOMIC JOURNAL"": ""2"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""3""}","{""ECONOMIC JOURNAL"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2""}","{""ECONOMIC JOURNAL"": ""2"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""3""}"
Tufts/full/UjjayantChakravortyAcademicCV.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}"
Tufts/full/mcinerney_cv_9_13_2023.docx,JOURNAL OF LABOR ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF LABOR ECONOMICS"": ""0"", ""promotion_university"": ""College of William and Mary"", ""promotion_year"": ""2014"", ""years_post_phd"": ""6""}","{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Tufts/full/storeygard_cv.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}"
UC Irvine/associate/CV_YLee.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""2""}"
UC Irvine/associate/clark.cv_.feb_.2024.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
UC Irvine/associate/cv_Antonio.docx,JOURNAL OF POLITICAL ECONOMY,"{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""1""}"
UC Irvine/associate/jenkins_cv.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of California, Irvine"", ""promotion_year"": ""2019"", ""years_post_phd"": ""8""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
UC Irvine/full/Branch_cv.docx,ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY,"{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}"
UC Irvine/full/CV Mazumder latest.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
UC Irvine/full/CV-Rocheteau.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""JOURNAL OF MONETARY ECONOMICS"": ""8"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}"
UC Irvine/full/CV_YingyingDong.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""1""}"
UC Irvine/full/Freedman_CV.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC REVIEW; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}"
UC Irvine/full/Harding CV Sept 2025.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""4""}"
UC Irvine/full/bogart_vita_jan92026.docx,ECONOMIC JOURNAL; promotion_university,"{""ECONOMIC JOURNAL"": ""2"", ""promotion_university"": ""University of California-Irvine""}","{""ECONOMIC JOURNAL"": ""1"", ""promotion_university"": ""University of California, Irvine""}","{""ECONOMIC JOURNAL"": ""2"", ""promotion_university"": ""University of California, Irvine""}"
UC Irvine/full/cv_Agrawal.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4""}"
