file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Rice/full/Richard Boylan.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Washington University"", ""promotion_year"": ""1996"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Washington University"", ""promotion_year"": ""1996"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Washington University"", ""promotion_year"": ""1996"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Rice University"", ""promotion_year"": ""2005"", ""years_post_phd"": ""14""}","{""promotion_university"": ""Washington University"", ""promotion_year"": ""1996"", ""years_post_phd"": ""5""}"
Rice/full/Xun Tang.docx,JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}"
Rice/full/cv-2021-12-30.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF POLITICAL ECONOMY; QUANTITATIVE ECONOMICS; RAND JOURNAL OF ECONOMICS; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUANTITATIVE ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""2013"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUANTITATIVE ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""2013"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""promotion_year"": ""2013"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUANTITATIVE ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""2015"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUANTITATIVE ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""2013"", ""years_post_phd"": ""10""}"
Rice/full/cv.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Rice/full/cv_ERASLAN.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""8""}"
Rice/full/newvita.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Rice/full/vitae.docx,AMERICAN ECONOMIC REVIEW; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Iowa""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Pittsburgh""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Iowa""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Iowa""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Iowa""}"
Rice/full/vivian-ho-cv-05192025.docx,name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Vivian Ho"", ""promotion_university"": ""University of Alabama Birmingham"", ""promotion_year"": ""2000"", ""years_post_phd"": ""8""}","{""name"": ""Vivian Ho"", ""promotion_university"": ""University of Alabama Birmingham"", ""promotion_year"": ""2000"", ""years_post_phd"": """"}","{""name"": ""Vivian Ho"", ""promotion_university"": ""University of Alabama Birmingham"", ""promotion_year"": ""2000"", ""years_post_phd"": ""8""}","{""name"": ""VIVIAN HO, Ph.D."", ""promotion_university"": ""Rice University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""12""}","{""name"": ""Vivian Ho"", ""promotion_university"": ""University of Alabama Birmingham"", ""promotion_year"": ""2000"", ""years_post_phd"": ""8""}"
Rutgers/associate/CV_BingxiaoWu_Rutgers_202409.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Rutgers University""}","{""promotion_university"": ""Rutgers University""}","{""promotion_university"": ""Rutgers University""}","{""promotion_university"": ""Rutgers, the State University of New Jersey""}","{""promotion_university"": ""Rutgers, the State University of New Jersey""}"
Rutgers/associate/CV_Xiye.docx,JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""6""}","{""JOURNAL OF ECONOMETRICS"": ""6""}"
Rutgers/associate/Campbell_CV.docx,REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}"
Rutgers/associate/Saavedra_CV.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Oberlin College"", ""promotion_year"": ""2020"", ""years_post_phd"": ""6""}","{""promotion_university"": ""Oberlin College"", ""promotion_year"": ""2020"", ""years_post_phd"": ""6""}","{""promotion_university"": ""Oberlin College"", ""promotion_year"": ""2020"", ""years_post_phd"": ""6""}"
Rutgers/full/CV - Richard McLean.docx,JOURNAL OF ECONOMIC THEORY; name; promotion_university; promotion_year,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""name"": ""Richard Patrick McLean"", ""promotion_university"": """", ""promotion_year"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""name"": ""Richard Patrick McLean"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1990""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""name"": ""Richard Patrick McLean"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1996""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""name"": ""Richard Patrick McLean"", ""promotion_university"": """", ""promotion_year"": """"}"
Rutgers/full/CV-September-2025.docx,JOURNAL OF DEVELOPMENT ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}"
Rutgers/full/CV.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8"", ""promotion_university"": ""Rutgers \u2013 The State University of New Jersey"", ""promotion_year"": ""1995"", ""years_post_phd"": ""7""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}"
Rutgers/full/CVOctober2025.docx,AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}"
Rutgers/full/CV_Prusa.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""Rutgers \u2013 The State University of New Jersey"", ""promotion_year"": ""1995"", ""years_post_phd"": ""7""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}"
Rutgers/full/IraGangVita.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": ""Rutgers University""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Rutgers University""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Rutgers University""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Rutgers, The State University of New Jersey""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Rutgers University""}"
Rutgers/full/Landon-LaneCV.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}"
Rutgers/full/Moehling CV_August6_2020.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Yale University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Yale University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Yale University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Rutgers University \u2013 New Brunswick"", ""promotion_year"": ""2006"", ""years_post_phd"": ""10""}","{""promotion_university"": ""Yale University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}"
Rutgers/full/Piehl.cv.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Harvard University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}","{""promotion_university"": ""Harvard University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}","{""promotion_university"": ""Harvard University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}","{""promotion_university"": ""Rutgers University"", ""promotion_year"": ""2005"", ""years_post_phd"": ""11""}","{""promotion_university"": ""Harvard University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""4""}"
Rutgers/full/Roger_Klein_Selected_CV.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""4""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""5""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""5""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""4""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""5""}"
Rutgers/full/Sopher CV_2020.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Rutgers University""}","{""promotion_university"": """"}","{""promotion_university"": """"}","{""promotion_university"": """"}","{""promotion_university"": """"}"
Rutgers/full/Vitae1.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""12"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""17"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""19"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""20"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMETRICS"": ""19"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}"
Rutgers/full/cv_mizrach.docx,name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Bruce Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": ""Bruce Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": """", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""name"": ""Bruce Mizrach"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Rutgers/full/cv_sigman.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Rutgers/full/keister-cv.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""7"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico"", ""promotion_year"": ""2004"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico"", ""promotion_year"": ""2004"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""2012"", ""years_post_phd"": ""14""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
SUNY Stony Brook/associate/CV240208.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}"
SUNY Stony Brook/associate/CVHBS2023.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; name,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""name"": ""Hugo A. Ben\u00edtez-Silva""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""name"": ""Hugo A. Ben\u00b4\u0131tez-Silva""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""name"": ""Hugo A. Ben\u00edtez-Silva""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""name"": ""Hugo A. Ben\u00edtez-Silva""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""name"": ""Hugo A. Ben\u00edtez-Silva""}"
SUNY Stony Brook/associate/CV_ANAGNOSTOPOULOS.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}"
SUNY Stony Brook/associate/Ting Liu - C.V..docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": """"}","{""name"": """"}","{""name"": ""Ting Liu""}","{""name"": """"}","{""name"": """"}"
SUNY Stony Brook/full/CV Yair Tauman October_2024.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": ""Northwestern University""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Northwestern University""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Northwestern University""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Kellogg School of Management, Northwestern University""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Northwestern University""}"
SUNY Stony Brook/full/CV.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Universitat de Barcelona"", ""promotion_year"": ""2001"", ""years_post_phd"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Universitat de Barcelona"", ""promotion_year"": ""2001"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Universitat de Barcelona"", ""promotion_year"": ""2001"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Stony Brook University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""14""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Universitat de Barcelona"", ""promotion_year"": ""2001"", ""years_post_phd"": ""2""}"
